         225814160 function calls (225218092 primitive calls) in 393.444 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   122000    0.024    0.000    0.024    0.000 {method 'values' of 'collections.OrderedDict' objects}
    35400    0.020    0.000    0.032    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/inspect.py:820(<genexpr>)
    59008    0.020    0.000    0.020    0.000 {method 'endswith' of 'str' objects}
13836/13802    0.020    0.000    0.025    0.000 {built-in method _abc._abc_subclasscheck}
    35400    0.019    0.000    0.026    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:265(innermost_fn)
    11800    0.018    0.000    0.384    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/optimizer.py:402(_group_tensors_by_device_and_dtype)
    11800    0.018    0.000    0.122    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/genericpath.py:16(exists)
    11800    0.017    0.000    0.056    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/_contextlib.py:141(clone)
    47200    0.017    0.000    0.025    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/inspect.py:823(<genexpr>)
    11800    0.017    0.000    0.023    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/_foreach_utils.py:35(<dictcomp>)
    47200    0.016    0.000    0.021    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/inspect.py:191(isclass)
    49400    0.016    0.000    0.016    0.000 {method '__exit__' of 'torch._C.DisableTorchFunctionSubclass' objects}
    11800    0.016    0.000    0.016    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/logging/__init__.py:1710(getEffectiveLevel)
    13800    0.015    0.000    0.431    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:233(collate_int_fn)
    23600    0.015    0.000    0.015    0.000 {built-in method torch._C._get_privateuse1_backend_name}
    11800    0.015    0.000    0.025    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_utils.py:851(is_compiling)
    11800    0.014    0.000    0.021    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:119(backend_cache_manager)
    11800    0.014    0.000    0.014    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/functools.py:65(wraps)
    59000    0.014    0.000    0.014    0.000 {built-in method builtins.setattr}
    23600    0.013    0.000    0.016    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/inspect.py:182(ismodule)
    11800    0.013    0.000    0.454    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:3377(check)
    23600    0.013    0.000    0.016    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/inspect.py:355(istraceback)
    49400    0.012    0.000    0.012    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/jit/__init__.py:127(annotate)
    41800    0.012    0.000    0.012    0.000 {built-in method builtins.iter}
    11800    0.012    0.000    0.012    0.000 {built-in method torch._C._are_functorch_transforms_active}
    11800    0.012    0.000    0.091    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/utils.py:862(getfile)
    72800    0.012    0.000    0.012    0.000 {function _ParameterMeta.__instancecheck__ at 0x7f319e50c8b0}
    11800    0.012    0.000    0.056    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:448(<listcomp>)
    23600    0.011    0.000    0.011    0.000 <string>:2(__init__)
    11800    0.011    0.000    0.022    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/_foreach_utils.py:12(_get_fused_kernels_supported_devices)
    23600    0.010    0.000    0.010    0.000 {built-in method torch._C._dynamo.eval_frame.set_eval_frame}
    13800    0.010    0.000    0.010    0.000 {built-in method torch._C._has_torch_function_variadic}
    14000    0.010    0.000    2.969    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:620(_next_index)
    23600    0.009    0.000    0.011    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/inspect.py:379(iscode)
    23600    0.009    0.000    0.012    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/inspect.py:365(isframe)
    11800    0.009    0.000    0.009    0.000 {method 'numel' of 'torch._C.TensorBase' objects}
    23600    0.009    0.000    0.011    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/inspect.py:277(isfunction)
    11800    0.009    0.000    0.009    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/autograd/__init__.py:155(_tensor_or_tensors_to_tuple)
    23600    0.009    0.000    0.011    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/inspect.py:199(ismethod)
    11800    0.008    0.000    0.010    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/compiler/__init__.py:157(is_compiling)
    11800    0.008    0.000    0.012    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/utils.py:435(hashable)
    11800    0.008    0.000    0.008    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:149(revert)
    13800    0.008    0.000    0.008    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/_reduction.py:7(get_enum)
    23600    0.006    0.000    0.006    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/decorators.py:148(graph_break)
     2000    0.006    0.000    0.012    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:1711(__setattr__)
    35401    0.006    0.000    0.006    0.000 {built-in method builtins.callable}
      300    0.006    0.000    0.006    0.000 {built-in method builtins.print}
    11800    0.006    0.000    0.009    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/_foreach_utils.py:8(_get_foreach_kernels_supported_devices)
    23600    0.006    0.000    0.006    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:1737(cast)
13836/13802    0.006    0.000    0.031    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/abc.py:121(__subclasscheck__)
 2000/200    0.005    0.000    0.023    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:2411(train)
    13800    0.005    0.000    0.005    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/_collections_abc.py:315(__subclasshook__)
    23600    0.004    0.000    0.004    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/optim/optimizer.py:358(_optimizer_step_code)
    23600    0.004    0.000    0.004    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:261(always_false)
    11800    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
      200    0.004    0.000    0.015    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:565(__init__)
    13800    0.004    0.000    0.004    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/_utils/worker.py:89(get_worker_info)
    11800    0.003    0.000    0.003    0.000 {method 'values' of 'dict' objects}
      400    0.003    0.000    0.056    0.000 /home/qyq/bfl/bluefoglite/common/torch_backend.py:462(allreduce)
    11800    0.002    0.000    0.002    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:257(nothing)
     2000    0.002    0.000    0.003    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/parameter.py:8(__instancecheck__)
      200    0.002    0.000    0.002    0.000 {method 'random_' of 'torch._C.TensorBase' objects}
     3800    0.002    0.000    0.006    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:2313(children)
      200    0.002    0.000    0.002    0.000 {built-in method torch.empty}
      400    0.002    0.000    0.002    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
      300    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      400    0.002    0.000    0.086    0.000 /home/qyq/bfl/example/torch_cifar10.py:225(metric_average)
      200    0.001    0.000    0.006    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:93(_get_distributed_settings)
      200    0.001    0.000    0.018    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:659(__init__)
      200    0.001    0.000    0.002    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/_tensor.py:1021(__len__)
      400    0.001    0.000    0.057    0.000 /home/qyq/bfl/bluefoglite/torch_api.py:209(allreduce)
      200    0.001    0.000    0.002    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:838(_get_group_size)
      200    0.001    0.000    0.001    0.000 {method 'manual_seed' of 'torch._C.Generator' objects}
      300    0.001    0.000    0.003    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:457(__len__)
      400    0.001    0.000    0.008    0.000 /home/qyq/bfl/bluefoglite/common/torch_backend.py:453(post_func)
      200    0.001    0.000    0.001    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:74(create_fetcher)
      300    0.001    0.000    0.001    0.000 /home/qyq/bfl/bluefoglite/torch_api.py:67(rank)
      200    0.001    0.000    0.019    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:382(_get_iterator)
      200    0.001    0.000    0.020    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:426(__iter__)
      200    0.001    0.000    0.001    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:1726(get_rank)
      300    0.000    0.000    0.001    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/sampler.py:297(__len__)
      500    0.000    0.000    0.001    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:445(_index_sampler)
      200    0.000    0.000    0.002    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torchvision/datasets/mnist.py:153(__len__)
      200    0.000    0.000    0.002    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:1753(get_world_size)
      200    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/_utils/fetch.py:8(__init__)
      700    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/dataloader.py:441(_auto_collation)
      400    0.000    0.000    0.000    0.000 /home/qyq/bfl/bluefoglite/common/torch_backend.py:134(size)
      500    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/utils/data/distributed.py:123(__len__)
      200    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/distributed/__init__.py:9(is_available)
      300    0.000    0.000    0.000    0.000 /home/qyq/bfl/bluefoglite/common/torch_backend.py:129(rank)
      100    0.000    0.000    0.012    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/torch/nn/modules/module.py:2433(eval)
      200    0.000    0.000    0.000    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/PIL/ImageMode.py:37(getmode)
       16    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:986(__setattr__)
        2    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/typing_extensions.py:2989(_collect_type_vars)
        3    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:146(_type_check)
        2    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:1016(__init__)
        2    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
        1    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:1223(__getitem__)
        1    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:1138(__getitem__)
       16    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:935(_is_dunder)
        2    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:1147(copy_with)
       35    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/_collections_abc.py:409(__subclasshook__)
        1    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        3    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:1234(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/_collections_abc.py:78(_check_methods)
        3    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:1902(get_origin)
        2    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:947(__init__)
        3    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/typing_extensions.py:154(_should_collect_from_parameters)
        3    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/typing_extensions.py:2976(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/_collections_abc.py:262(__subclasshook__)
        6    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:1031(__eq__)
        1    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/typing_extensions.py:2872(_check_generic)
        5    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:1022(<genexpr>)
        3    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:137(_type_convert)
        2    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/typing.py:1143(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /home/qyq/anaconda3/envs/bfl/lib/python3.10/site-packages/typing_extensions.py:3024(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}


